AFM Grain Size (?m),AFM Roughness (?m),Line Profile Std Dev (nm),Line Profile Mean (nm),Phase (Target)
1.443932717,0.094261051,0.176131227,1.459637606,1
0.674495275,0.118169417,0.436684506,1.977517062,2
0.523640311,0.080187717,0.23492359,2.779328336,0
1.448859013,0.094183852,0.227198997,2.315878938,1
1.386235272,0.138799894,0.276894894,2.37391078,2
0.864743746,0.091522214,0.219667678,1.815515993,0
0.740588474,0.146207367,0.287595096,1.741709491,1
1.319067102,0.096291324,0.425752829,2.009388694,2
0.873019185,0.115334781,0.156864062,2.956430072,0
0.936680094,0.149797203,0.178369826,1.646017551,1
1.137119604,0.115609003,0.168491968,1.936493503,2
0.873439249,0.130012043,0.199474348,2.990855458,0
1.415623187,0.089947601,0.359483988,1.209995457,1
1.122320723,0.11155783,0.2169003,2.24482514,2
1.076255343,0.086778081,0.163325998,1.622006044,0
1.013851988,0.141287937,0.329836197,1.44978221,1
0.861938994,0.06059678,0.162947209,1.886934769,2
1.321501451,0.053974161,0.174765119,1.155024416,0
1.165100805,0.1434118,0.167233104,1.000657788,1
0.966470511,0.057712216,0.482048145,1.680411291,2
1.305103925,0.082320558,0.261629543,2.581214802,0
1.030257389,0.075944258,0.469627178,2.88884297,1
1.087858681,0.106398241,0.458282209,2.022255552,2
1.27014463,0.079607761,0.461044661,1.577696757,0
1.331992757,0.099909005,0.203402346,2.345715744,1
1.32519945,0.1281862,0.151509672,2.58964258,2
1.222065174,0.076213858,0.113423988,1.262081183,0
0.6762963,0.050028983,0.454712018,1.601586673,1
1.080306148,0.132799767,0.232248124,2.850460758,2
1.187207784,0.070058177,0.221732206,1.542437512,0
1.245429649,0.072480041,0.346910285,1.760246004,1
0.799122875,0.084692875,0.135982685,1.737248428,2
0.818502416,0.133785621,0.489159289,1.897212746,0
1.01561234,0.117474322,0.218474523,2.794203577,1
1.491814167,0.107019073,0.465491124,2.917737156,2
1.208099377,0.09425557,0.138603142,2.643710574,0
1.210844691,0.107701168,0.248936909,1.566625912,1
1.34445815,0.131146681,0.272973107,2.269448448,2
0.700352569,0.09602766,0.207861579,1.862214572,0
0.822689634,0.144957006,0.473178851,2.445822196,1
1.28804245,0.061981569,0.164508105,2.790966652,2
0.764090011,0.148047252,0.489641738,1.640692147,0
1.201195789,0.068157407,0.465562466,1.325451192,1
1.351499991,0.114589114,0.356377173,1.932780537,2
0.857515983,0.09617609,0.300148394,2.39558757,0
1.252966373,0.132738,0.381980647,2.030218362,1
0.776918309,0.079170892,0.396014112,1.555043048,2
0.527672337,0.092339217,0.196742279,2.817632181,0
0.693554397,0.056634539,0.127910109,2.823308534,1
1.048850256,0.140161775,0.445825638,1.905378784,2
0.523372356,0.119070033,0.373462244,1.506729949,0
1.092208707,0.086220528,0.465772656,2.615532638,1
0.816566318,0.129279261,0.284132804,1.105700955,2
0.972504552,0.087731863,0.460742162,1.097228332,0
0.92295499,0.144788175,0.402714638,1.534664644,1
0.93220469,0.103978444,0.402523474,1.398691556,2
1.116287678,0.070068024,0.267883147,1.453139926,0
1.203448192,0.119057715,0.43622822,2.739658675,1
0.54201408,0.119747294,0.401399285,2.202079568,2
1.107811478,0.064348523,0.486843222,1.392551614,0
1.436541557,0.11825042,0.447809699,2.577740992,1
0.788580381,0.093109873,0.163471663,2.973602246,2
1.38693955,0.115834417,0.184587059,2.761966679,0
0.7441732,0.115686789,0.463976698,2.461272531,1
1.100456519,0.136574371,0.330264392,2.047078894,2
1.248933606,0.099673017,0.246289228,2.319481145,0
1.274671229,0.093469965,0.173543001,2.122815453,1
1.471182766,0.084980724,0.311575611,2.992439085,2
1.369107867,0.138623205,0.428220224,1.219922484,0
1.441784366,0.073070539,0.40116767,2.248349925,1
1.497523785,0.140984968,0.148478187,2.926767529,2
1.12663771,0.125261124,0.119941284,2.444921445,0
1.19110634,0.143032838,0.400110627,2.8476059,1
0.997713568,0.065240479,0.164775438,2.847543403,2
0.875138076,0.143565063,0.422031518,1.987596018,0
0.579698139,0.12776195,0.139467533,2.403482513,1
1.270857617,0.057506096,0.225123069,2.829588891,2
1.292293247,0.117937898,0.416060768,1.089543895,0
0.972890319,0.127907237,0.127756228,1.247580344,1
0.675755876,0.056657493,0.443826442,2.401939457,2
1.21749014,0.133010983,0.345032492,2.744970893,0
0.762696396,0.147237645,0.406077433,1.822787763,1
0.836258142,0.0927064,0.13923233,2.849747559,2
1.051847394,0.126674546,0.188588822,1.106450221,0
0.680685719,0.074107874,0.31710101,1.471739399,1
0.602604377,0.124815303,0.442058392,2.679410358,2
1.082749169,0.088390671,0.269371122,1.676621184,0
1.310155826,0.050534677,0.367498483,2.257900816,1
0.627350643,0.095972999,0.380313132,1.162043871,2
1.405555685,0.093984758,0.128011189,1.222101572,0
1.117972797,0.059574173,0.434746561,1.857634134,1
1.320348614,0.07133704,0.415304515,1.181078599,2
0.625250457,0.065552296,0.170841688,2.309567743,0
1.104846163,0.136216566,0.488856739,2.886594987,1
1.22816315,0.077520871,0.418998892,1.474271768,2
0.583724739,0.135099613,0.393231127,1.173834612,0
0.50991203,0.142272334,0.196222784,1.704790574,1
0.738610568,0.093061125,0.483767936,2.698555206,2
1.3648563,0.056100492,0.403512897,1.896732083,0
1.277432516,0.141265938,0.240471944,2.117292956,1
1.291000603,0.073762923,0.129305584,1.13889795,2
0.534695619,0.104417798,0.191275568,2.05279434,0
0.625558112,0.094279959,0.341625991,1.216015316,1
1.427497853,0.085518692,0.412399945,2.849256328,2
0.73398895,0.146553252,0.475852604,2.971838499,0
0.674951954,0.139937675,0.442952773,1.258345601,1
0.519173429,0.087496692,0.322242074,2.994940845,2
0.656916716,0.057763487,0.12130591,1.337133416,0
0.947703262,0.143780234,0.404516216,2.717053485,1
0.745378611,0.130840549,0.352303087,1.776160912,2
0.601425576,0.12920353,0.209945653,2.000436974,0
0.550704284,0.058544632,0.207088141,2.234358037,1
1.018259805,0.141276053,0.151717666,1.032632684,2
1.349678173,0.124125757,0.17192889,2.679015656,0
1.011251681,0.122970242,0.186566832,1.46721971,1
1.358300751,0.099506993,0.158728357,1.074641615,2
0.714114905,0.066942114,0.222482732,2.574263159,0
0.927946552,0.091585933,0.187810574,1.681645762,1
1.191355048,0.067311528,0.392795283,2.935992798,2
0.990392945,0.093906854,0.146836488,2.663690532,0
1.350203907,0.104290826,0.434518441,2.605921384,1
0.710266785,0.100168812,0.387205126,1.345540617,2
1.133072664,0.097165696,0.410872705,1.486310949,0
0.732027365,0.141517899,0.244653049,1.700932703,1
0.920103906,0.112643945,0.312605152,2.074189428,2
1.49375049,0.066544873,0.469735549,2.353167197,0
0.92426356,0.065459608,0.300679472,2.574823247,1
1.438836952,0.13199476,0.49022537,2.243970923,2
1.171007775,0.050803862,0.206646824,2.254565061,0
1.123280005,0.105227063,0.485465793,1.492111748,1
1.486709212,0.121561498,0.204064769,1.519647668,2
1.423078207,0.135456922,0.297447983,1.689808698,0
1.413417427,0.129070159,0.231856999,1.590091525,1
0.764824245,0.145810216,0.384280578,2.60399378,2
1.141259224,0.119734971,0.242257024,1.225000305,0
1.21415845,0.102107033,0.346927843,1.26059302,1
0.549348952,0.066184208,0.183406036,1.193205881,2
1.264674978,0.115196422,0.262090451,2.458337562,0
0.863104093,0.050836365,0.379196484,1.935385018,1
1.164297961,0.079447051,0.311634593,2.936516136,2
0.569502495,0.138375898,0.401355586,2.511793503,0
1.275992781,0.141024365,0.173686466,2.706332401,1
1.139042992,0.051198257,0.441948733,2.771187459,2
1.059882761,0.057298094,0.477323857,1.808857246,0
0.581797567,0.05500966,0.336221064,2.944753851,1
0.741443298,0.149089435,0.392016642,1.391749977,2
0.68692281,0.126511916,0.315269196,2.901290641,0
0.744165304,0.131060874,0.218596406,1.8339776,1
0.926753892,0.054902281,0.477644135,2.51643789,2
1.393368526,0.076829408,0.204637923,2.530183001,0
1.23435289,0.09236349,0.287715043,1.36103293,1
0.607562044,0.067727265,0.421528084,1.525742032,2
1.439677045,0.124220612,0.353796717,1.653148733,0
0.825336013,0.079657493,0.449403323,2.53748445,1
0.578103953,0.106083535,0.254200615,2.381583317,2
1.196574594,0.077712126,0.346392808,1.801891414,0
0.916044751,0.064413175,0.250710018,2.811813468,1
1.345068218,0.057302243,0.212138433,1.497522247,2
0.633555215,0.139125355,0.30487905,2.969813723,0
1.351456772,0.051268857,0.238523229,1.094470006,1
1.483877065,0.126081203,0.191018774,2.973661313,2
1.093049711,0.103746783,0.203913211,1.643292944,0
1.322792987,0.066633802,0.478246293,1.363056317,1
0.585476165,0.149231609,0.458633187,2.615908565,2
1.190214101,0.06002018,0.362461325,2.127081134,0
1.037314164,0.078767258,0.281610851,1.635393811,1
0.80019114,0.118849321,0.179650724,1.916838592,2
0.792813237,0.110027636,0.367254611,1.894216392,0
1.353391124,0.073440411,0.46915507,2.958851564,1
0.511880132,0.076665458,0.434551135,2.86087821,2
1.169847431,0.099921578,0.244393715,1.298787074,0
1.194026491,0.123151545,0.12024903,1.437079657,1
0.56638237,0.054958924,0.196383012,1.406704544,2
0.835397051,0.080593259,0.414765161,2.952048954,0
1.274482908,0.092777819,0.331996979,1.562264295,1
0.553669905,0.095815879,0.402596574,2.296098404,2
0.784997965,0.062401784,0.243945387,1.645513493,0
1.056390067,0.136018975,0.126674383,2.079324356,1
1.477219022,0.103640961,0.309462354,1.71286665,2
1.013260202,0.081284654,0.168852916,2.769120199,0
0.645560614,0.132098709,0.400530177,2.154027224,1
1.243160821,0.117283877,0.273915743,1.441083751,2
1.030871625,0.071507473,0.230192511,1.437362318,0
0.685602193,0.061157792,0.3849282,1.570934989,1
0.632074532,0.104328153,0.317945852,1.05338834,2
0.729360804,0.063296272,0.311235457,2.041516827,0
1.348462272,0.13830215,0.346631308,1.427277455,1
0.71234799,0.112805928,0.381456818,1.080825684,2
0.9925022,0.069048782,0.305767012,2.020578815,0
1.27271244,0.07814675,0.446023517,1.895593399,1
0.850649721,0.086908193,0.437111544,2.562236094,2
0.544786736,0.068142816,0.433140435,1.146984191,0
0.922339626,0.086345406,0.49004553,1.182513874,1
1.051500409,0.062230838,0.469001939,1.805948153,2
1.338923282,0.061517954,0.490087124,1.929170858,0
1.232087541,0.117103111,0.412810772,2.210738161,1
1.4569053,0.140806053,0.374504163,1.329845991,2
0.62807876,0.121339108,0.323757984,1.24636453,0
1.251904201,0.066354553,0.184079223,2.761992356,1
1.383079692,0.072558985,0.201145967,1.316276287,2
0.572186888,0.098371164,0.391251639,2.171822668,0
0.540165899,0.12367201,0.144417544,2.015147206,1
0.519708235,0.092114915,0.45019829,1.906619969,2
1.227526737,0.133125202,0.49194291,1.9565286,0
0.949883871,0.144274934,0.174186629,2.351730057,1
1.244828747,0.117105957,0.324746602,2.576947303,2
0.653557508,0.139676664,0.287715202,2.15398663,0
0.927455618,0.093787975,0.128563494,1.535793656,1
0.803245569,0.070687693,0.480705079,2.388949753,2
1.170548212,0.07441109,0.385310914,2.623754017,0
0.656307754,0.074768497,0.449473212,2.305864416,1
1.00434641,0.131830209,0.361632799,1.122833882,2
1.137840838,0.083133218,0.236492201,1.428806544,0
1.035042078,0.140479372,0.396074537,1.270859688,1
1.317193119,0.053088141,0.463644197,2.084025826,2
0.912663039,0.085791309,0.454527704,2.123870608,0
1.308139396,0.139638965,0.453077096,1.567035997,1
0.683438098,0.12073991,0.108902858,1.513739596,2
1.263161724,0.087374569,0.335659702,1.233814997,0
0.769863232,0.066585528,0.277610264,1.480989063,1
1.060024663,0.118405651,0.192904762,1.069881587,2
1.194104121,0.09349718,0.256145821,2.645008132,0
0.740699429,0.062551537,0.108596358,2.875865225,1
1.195531707,0.077948232,0.363699504,1.197666324,2
0.727710793,0.120082172,0.469232089,1.020367601,0
0.937459859,0.114794724,0.160435894,2.278944062,1
0.996034732,0.137714661,0.413171871,1.949706132,2
1.448173194,0.149153818,0.250292927,2.035361878,0
1.373795904,0.144823684,0.353249625,1.039004591,1
1.367324754,0.099586733,0.238002875,1.501029525,2
0.650958669,0.051557385,0.34662528,1.030670104,0
0.524135144,0.11302703,0.306249639,2.901578988,1
0.791714309,0.084731068,0.20017708,1.312302861,2
0.748004628,0.092078947,0.1869036,2.690930284,0
0.556499544,0.128101759,0.243274847,2.876678487,1
0.536358518,0.091786516,0.367927678,2.105279741,2
1.303799519,0.06568581,0.152028379,2.296426953,0
0.64196841,0.135099825,0.37269825,1.729202988,1
0.974906556,0.09131786,0.388518399,2.396881528,2
0.936076121,0.12962502,0.370088745,1.75565644,0
0.650756001,0.133182958,0.245071341,2.322948276,1
1.406375321,0.068814453,0.267491381,2.721761675,2
1.485317756,0.056996957,0.284693454,2.433945863,0
1.474456297,0.140098905,0.3820281,2.452538822,1
1.131919419,0.109676274,0.304694567,2.497101958,2
1.128204882,0.063145306,0.356710169,1.157126367,0
1.265847041,0.078813741,0.131698694,1.570327593,1
1.141709256,0.096939375,0.388626251,1.191224682,2
1.159021094,0.098369141,0.359369738,2.316796528,0
1.298865624,0.110414915,0.337292266,2.513592772,1
0.939056999,0.053553309,0.271154901,2.351864106,2
1.079292386,0.09993269,0.139550925,2.796796991,0
0.62186424,0.064406244,0.361944172,2.352215517,1
0.724956123,0.083149982,0.401662926,1.441566602,2
0.814566487,0.09695252,0.337672651,2.961791989,0
0.68142244,0.050174939,0.355618168,1.791557697,1
0.575690223,0.066786429,0.238785662,2.768621205,2
0.741940892,0.116257297,0.426270774,2.469428176,0
0.90741943,0.100656232,0.105017822,2.417257463,1
0.786382008,0.061866987,0.22807052,2.587066775,2
0.550174336,0.078740874,0.224273814,1.770284016,0
0.875904604,0.056726263,0.146076671,1.847406972,1
0.564278937,0.123041856,0.32391435,1.131328805,2
0.673871236,0.118209208,0.357369407,2.56792061,0
0.86138194,0.107171262,0.140695464,2.911577596,1
0.966691129,0.1204944,0.463338825,2.275757756,2
0.869595536,0.064897889,0.379321848,2.536567347,0
1.195176223,0.129299977,0.161284267,2.40872326,1
0.787508663,0.11645674,0.290450709,2.571491308,2
1.052380254,0.072618789,0.445029418,2.387643961,0
1.314219218,0.137993164,0.339847806,1.252308223,1
0.57387397,0.075947077,0.434616192,1.556522797,2
1.465560887,0.086332905,0.196821439,2.058765172,0
1.006167931,0.095721851,0.478744683,1.086564918,1
1.271582963,0.119550287,0.255255169,2.73718663,2
1.152217084,0.053703063,0.248292232,2.22391591,0
1.420346162,0.091471802,0.140727938,1.909521901,1
0.978608691,0.091905536,0.464516374,2.777699329,2
1.17613244,0.091224899,0.412253941,1.160945525,0
1.495383014,0.116900253,0.415479644,2.698530656,1
1.40062625,0.083056664,0.491488634,1.583636925,2
0.980855383,0.116623537,0.226531816,2.199128619,0
0.85144578,0.080066787,0.115910126,2.354359222,1
1.178281152,0.07422728,0.355200853,1.26044462,2
1.043042491,0.054359135,0.241563068,1.935770543,0
1.283147937,0.13683325,0.280512449,1.793264378,1
1.142967294,0.101139786,0.441056896,2.547935541,2
1.026107776,0.05210402,0.203139504,2.191299935,0
0.744525722,0.11114604,0.254933738,1.4544391,1
1.384132435,0.062960418,0.492995004,2.014976425,2
0.89392806,0.076444091,0.33327506,1.238354413,0
1.117474917,0.087411105,0.178762036,2.459873622,1
1.176378259,0.143719105,0.116308149,1.90790292,2
1.115342393,0.087046307,0.121399249,2.570919535,0
0.777220757,0.144679834,0.226824765,1.261558094,1
1.287900004,0.134907808,0.33735771,2.238518059,2
0.797015227,0.07564141,0.29032024,2.30874524,0
1.15894534,0.09326083,0.472288214,1.859327888,1
1.221599855,0.055821571,0.355756745,1.367753892,2
0.856402794,0.13086734,0.104376742,1.596714595,0
0.743771659,0.137547747,0.158725525,2.017446719,1
1.240822732,0.09196155,0.391501656,2.514240223,2
0.868254406,0.096169859,0.283934669,1.494867893,0
1.425024781,0.11698103,0.224419653,1.276544079,1
1.336590021,0.078267171,0.300384605,1.06319568,2
1.266984755,0.140114968,0.222815003,2.35181081,0
1.256110361,0.11489601,0.421014038,1.905403726,1
1.216908486,0.136117626,0.332638205,2.86759803,2
1.394865193,0.0508138,0.224546732,1.279709144,0
1.334319136,0.076596648,0.282347914,1.371066988,1
1.338030468,0.131325052,0.301046453,2.371500253,2
1.430623131,0.103726368,0.157443251,1.74170616,0
0.588690487,0.14357249,0.158074907,2.937128001,1
0.970284114,0.050801609,0.497541269,2.373678366,2
0.644694394,0.061477526,0.370813311,1.737467785,0
0.752865009,0.113717476,0.28644513,2.658441271,1
0.946602434,0.11822207,0.244736025,1.201628112,2
1.14027917,0.056232392,0.319026042,1.040329445,0
1.163145133,0.100816932,0.248095493,2.045118503,1
1.301858386,0.094305655,0.361869805,1.775093039,2
0.57383501,0.148781606,0.375332029,2.061785582,0
0.571302907,0.101572183,0.344820155,1.392740856,1
1.227230421,0.10829182,0.235955623,2.817732506,2
1.434672654,0.051922673,0.293161217,1.33162265,0
1.425412522,0.144658073,0.230782369,1.233288872,1
1.498420999,0.076550377,0.454427219,2.725627548,2
0.694732888,0.098008489,0.304150916,2.528401959,0
0.620027274,0.083021406,0.123645841,2.006705426,1
0.609475805,0.072331798,0.219048494,2.207069467,2
1.311577079,0.055378101,0.423234853,2.730973598,0
1.270299297,0.085654384,0.499189846,1.426525717,1
1.041631215,0.110043815,0.438622344,2.56491354,2
0.909699025,0.126152545,0.352434358,2.702267437,0
0.688003054,0.089265375,0.12951013,1.554838832,1
0.780727256,0.119180609,0.339506808,1.379080988,2
0.716497116,0.112491561,0.415140326,1.340305486,0
1.374718678,0.110082939,0.175478183,1.603863484,1
0.993304588,0.065185688,0.112029652,1.280135719,2
0.598514031,0.089703364,0.423465705,1.923652463,0
1.406792326,0.138897131,0.10239099,1.285451951,1
0.805412446,0.142428543,0.366207925,2.520169041,2
1.386651288,0.114876365,0.109367598,2.579825258,0
1.16491103,0.142708762,0.309504915,2.470627245,1
0.949846547,0.12599632,0.317077998,1.044454584,2
0.64438099,0.056126439,0.43601236,1.135862887,0
1.212131997,0.112131493,0.345067525,2.220002925,1
0.564319626,0.086826044,0.31481199,2.638813914,2
1.343768351,0.062453735,0.145646399,2.34885402,0
1.301067498,0.090116058,0.47904747,2.065939728,1
0.735645722,0.124731614,0.321157417,1.478401884,2
1.228827486,0.098067587,0.248036587,2.363003942,0
0.827266287,0.051542202,0.203231002,1.224805777,1
0.551346188,0.118327334,0.471726732,1.092686147,2
0.569369819,0.07230132,0.368749214,2.575464407,0
1.239595739,0.088724917,0.448657033,2.026937092,1
1.319979447,0.137278359,0.426951366,1.53946042,2
0.554583255,0.104417773,0.454012824,1.912456834,0
0.70495157,0.069377997,0.298445433,1.549962858,1
1.249740541,0.081489001,0.224418851,1.466879728,2
1.323343672,0.099173806,0.167009801,1.483492249,0
1.235478107,0.065171546,0.326682417,2.018770351,1
1.319767901,0.068756019,0.110764432,1.269674077,2
0.944056186,0.140034352,0.255455146,2.36489821,0
0.539720846,0.112442176,0.150398574,1.523878044,1
1.383382358,0.075806469,0.391886611,2.546785055,2
1.188535502,0.102195582,0.474722904,2.308069875,0
0.853389751,0.076275093,0.24565665,2.001594306,1
1.440156662,0.085327306,0.1980591,1.917059313,2
0.558109577,0.055982055,0.138879102,2.33672191,0
0.830032278,0.147094621,0.220500207,2.641027318,1
0.869471253,0.107939676,0.359271188,2.822088366,2
0.59441043,0.097016597,0.433383339,2.228258045,0
0.895960779,0.08230005,0.23726959,2.315469522,1
0.547717356,0.123266002,0.479040506,2.540626303,2
1.39273657,0.054046004,0.193289151,2.324118002,0
1.490078109,0.080291462,0.431828133,2.094488001,1
0.712724754,0.079835648,0.15527023,1.400374898,2
0.881403775,0.104272052,0.190696784,2.820050781,0
0.841994948,0.077702134,0.189308649,1.456086929,1
0.919744478,0.078009996,0.224831712,2.6545321,2
0.841265647,0.125274489,0.432398053,1.698153808,0
0.726776005,0.090069291,0.319134178,2.047881703,1
0.679040628,0.136895415,0.396956255,1.027425461,2
1.088299516,0.132450601,0.165432182,2.660311277,0
0.93919303,0.131498553,0.203844168,1.25138353,1
0.926115473,0.12331221,0.109467868,1.481980382,2
0.801692258,0.051763324,0.278228219,1.886629716,0
0.787630174,0.12505783,0.129775638,2.750689077,1
1.430761959,0.12005287,0.190719252,2.150081495,2
1.141091124,0.057029268,0.125255048,1.601859762,0
1.239237076,0.076226871,0.1860395,1.43707712,1
0.896574517,0.106390481,0.372289652,2.86586616,2
1.130751916,0.129838171,0.459260379,2.997887285,0
0.562609124,0.135960933,0.413677799,2.074093629,1
0.900664515,0.141434681,0.474140908,2.903552112,2
0.86851707,0.065962812,0.227313019,1.591325958,0
1.058198059,0.116943625,0.480314389,1.976076471,1
0.838031941,0.079575094,0.418929499,2.813733148,2
0.926931117,0.10096547,0.261817736,2.502673212,0
1.366451416,0.130267891,0.322002013,1.758405138,1
1.076902127,0.051386236,0.356858217,1.845270194,2
1.497306514,0.0796122,0.454457532,1.325772226,0
1.196487094,0.058688433,0.14978358,1.394789378,1
1.130143426,0.059817101,0.412554107,1.407096352,2
0.640627083,0.138292451,0.187046705,2.61081756,0
0.756372871,0.058760012,0.321727791,2.725311973,1
1.267289311,0.078058503,0.438084106,1.33770643,2
0.741378511,0.103156332,0.120790844,2.680344692,0
1.011458916,0.116769281,0.247447265,1.216745233,1
0.851349749,0.104800922,0.210006164,2.936807459,2
1.340672897,0.097390388,0.442672899,1.296390949,0
0.933464763,0.133641968,0.112096233,1.062973613,1
1.428263581,0.107194459,0.12884159,1.347728512,2
0.581546007,0.112469672,0.308388821,1.518479863,0
1.324971879,0.083888656,0.243428896,1.581748867,1
0.7179187,0.066620894,0.291443667,1.253767081,2
1.004626136,0.140944097,0.202350379,2.933341732,0
0.722669066,0.121889235,0.283209125,2.596394264,1
1.016055243,0.125656453,0.433236328,2.179888672,2
1.092655874,0.051192784,0.181242722,1.465077949,0
0.889489233,0.106306974,0.368448429,2.182616975,1
0.559680393,0.050966179,0.199536249,1.954576191,2
