FTIR Peak 1 (cm?¹),FTIR Peak 2 (cm?¹),FTIR Peak 3 (cm?¹),Bandgap (eV),DOS Peak Position 1,DOS Peak Position 2,DOS Peak Position 3,DOS Peak Intensity 1,DOS Peak Intensity 2,DOS Peak Intensity 3,AFM Grain Size (?m),AFM Roughness (?m),Line Profile Mean (nm),Line Profile Std Dev (nm),Phase (Target)
1287.569274,879.232207,746.5134415,6.122585281,0.105935574,0.341783048,0.359197144,1.241894868,0.766395388,0.557962818,0.889644027,0.081769879,1.939493902,0.420012249,1
1233.494712,918.2226733,840.2684888,6.533642511,0.149980535,0.447400807,0.488868138,1.338597919,0.73886675,0.719744632,0.741507395,0.109138634,2.560016924,0.406427758,2
1208.603015,842.9406102,894.6441538,6.805912646,0.08394923,0.24245579,0.209171231,1.353332914,0.562434509,0.809186172,1.448522919,0.074168307,1.54708952,0.271511286,0
1286.714933,882.5511601,740.9990557,6.085346483,0.108065241,0.351010298,0.228306971,1.233267627,0.780356406,0.704326442,0.759167785,0.07931671,1.723296626,0.243603823,1
1227.050837,921.5479069,740.3328942,6.512352303,0.132883832,0.442120874,0.253653169,1.315716341,0.681338227,0.751857049,0.741260655,0.117516561,1.90928203,0.16404003,2
1206.528255,838.6040297,882.0742964,6.844720146,0.088946645,0.259007326,0.297217825,1.44339196,0.644678719,0.728551328,0.790994453,0.094402135,2.506020374,0.321625014,0
1285.203664,883.014535,817.790914,6.102669058,0.115067856,0.346922804,0.307589657,1.193766136,0.75721336,0.917189962,0.542196878,0.129538016,1.113434575,0.155181967,1
1226.110508,924.7418137,724.0473333,6.502543447,0.139326588,0.444654782,0.27120782,1.332948349,0.711771391,0.811439846,1.195526607,0.050885156,1.296615753,0.203432031,2
1210.317998,838.7407362,812.8697315,6.753512878,0.09804618,0.259255032,0.375242501,1.448002211,0.568247527,0.533311101,1.344755898,0.136524569,2.924149736,0.211964883,0
1284.499477,882.6787123,753.9365943,6.107352985,0.115707372,0.34352277,0.260164769,1.209203498,0.760966008,0.973387973,1.234066154,0.076186312,2.122199164,0.143586948,1
1231.934656,924.8879766,760.3527645,6.493354118,0.131916214,0.441952356,0.338731352,1.253551106,0.720482684,0.714885503,1.313182019,0.072268907,2.21358409,0.23065073,2
1209.400871,838.2692755,733.2543173,6.814293068,0.090171265,0.259364726,0.203041085,1.411362582,0.618125176,0.644907132,0.838192187,0.114343397,2.602583861,0.195624925,0
1288.727401,882.2627656,717.76538,6.103747432,0.113019293,0.346413949,0.27410278,1.247725952,0.824281929,0.933363672,0.610832013,0.075075062,1.7383144,0.202841618,1
1225.822895,920.8841505,749.9509187,6.540313253,0.136222642,0.448025334,0.461776565,1.295626353,0.700486798,0.711155541,0.913772589,0.058948105,2.220917405,0.213185359,2
1206.50261,840.2242775,791.7790932,6.800600006,0.08159505,0.254602986,0.3057629,1.373539678,0.560663116,0.828546899,1.118795282,0.12258213,1.804346066,0.335213819,0
1286.900768,878.5935678,819.4833592,6.077714401,0.104437559,0.344071213,0.454248957,1.232603119,0.832269568,0.683479034,1.017765675,0.120869925,1.62805989,0.393548381,1
1231.186686,918.4550436,985.9026937,6.541403577,0.139443518,0.449653273,0.237175528,1.274333329,0.731665815,0.539603405,1.312161958,0.078689044,2.008478247,0.1384818,2
1206.173954,843.3859481,991.7512923,6.813096841,0.094264005,0.252065404,0.283004773,1.412350888,0.637435306,0.507464838,0.657691997,0.131104068,2.301637915,0.230073996,0
1284.866299,875.3854246,875.8132787,6.098554758,0.110358936,0.35910838,0.494940507,1.191144573,0.849366901,0.761527136,1.194921204,0.129486867,2.038304044,0.304991141,1
1228.270073,915.5220814,802.0489818,6.497871603,0.134552314,0.454532022,0.386998911,1.328893013,0.650361008,0.847617028,0.692581486,0.125689167,1.593720533,0.207566941,2
1210.890823,842.0749748,840.6630363,6.834091667,0.097282113,0.250598102,0.38997262,1.409836651,0.550437037,0.873266771,1.407316134,0.063192497,1.421162515,0.43766821,0
1284.421517,875.8982092,928.3284753,6.057794679,0.102257729,0.353591303,0.341778906,1.208526851,0.778164109,0.514212162,1.322154365,0.075884559,2.47763275,0.299611478,1
1227.828379,924.9975602,932.9730224,6.500781538,0.147516035,0.451184584,0.47439515,1.33928449,0.68080096,0.84009099,0.750737179,0.149382992,2.669593932,0.142651095,2
1212.789529,837.9496564,745.424657,6.834011259,0.098032783,0.254601085,0.222395395,1.381934211,0.576748318,0.843705663,0.901786481,0.064181111,2.061320887,0.351502802,0
1283.209421,875.2360341,977.6002051,6.117056492,0.10295572,0.357068294,0.326240192,1.235410746,0.810230009,0.894569369,1.429685447,0.072576573,1.960239795,0.279939522,1
1233.513399,918.9496755,809.0597095,6.463021559,0.146136724,0.450548754,0.442168821,1.288736876,0.704122873,0.587179453,0.724678375,0.129130102,1.13414679,0.177006977,2
1214.893965,842.9815449,807.5351742,6.839136053,0.095769879,0.241812002,0.295070192,1.359307609,0.581199228,0.743807515,0.920823397,0.069271749,2.177546825,0.15625923,0
1282.003475,882.8111996,999.7613842,6.059491452,0.108543032,0.355021595,0.406587196,1.150196804,0.781727092,0.960118075,1.355295742,0.123008319,2.159469617,0.278160105,1
1225.127428,915.3450406,879.5498607,6.555289398,0.130464125,0.44642793,0.449043404,1.338747945,0.746739597,0.754792928,1.239087596,0.103200645,1.254408925,0.121308671,2
1213.602784,843.8916297,937.924311,6.843085964,0.082449097,0.242858493,0.443594295,1.398002075,0.590436007,0.687775767,0.569729977,0.071203364,2.483419149,0.267080333,0
1286.227322,879.8099702,938.8894771,6.106634637,0.104038608,0.355254262,0.351303782,1.246079436,0.799786045,0.503584161,0.656304602,0.137876648,1.520756057,0.217708776,1
1234.548143,918.0411132,962.3086137,6.528158025,0.141848451,0.441134397,0.433117692,1.349902817,0.710312044,0.685304731,1.343628896,0.079214586,1.380093274,0.111730589,2
1207.074388,842.962067,784.5178929,6.771928945,0.092659853,0.255452678,0.233348872,1.401394223,0.593924036,0.619942394,1.014950024,0.062238914,2.141804542,0.106780308,0
1282.400875,882.5987168,957.3341032,6.131210632,0.103650578,0.344462494,0.373838914,1.22615267,0.842027069,0.9380426,0.910543165,0.14181344,2.380536887,0.185012209,1
1231.74919,924.3016107,828.4115451,6.506303431,0.130369979,0.451954402,0.25853083,1.302930428,0.696856022,0.845006296,1.117389499,0.125097322,2.945397433,0.34255399,2
1211.770666,841.5557638,944.0414321,6.775141497,0.092966278,0.240584713,0.475444138,1.449247034,0.552011696,0.989021974,0.906187708,0.063264058,2.163319534,0.411031769,0
1279.218323,878.0803057,986.493391,6.063808206,0.107441022,0.343683411,0.418194268,1.203358971,0.787446408,0.791399025,0.931300779,0.144762334,1.028659838,0.244852889,1
1231.133476,921.1651265,992.0911008,6.471485397,0.149887349,0.442688724,0.275887474,1.296425781,0.701028199,0.543716093,0.523672036,0.071345743,1.922400335,0.424562974,2
1210.392202,836.4600605,924.8231953,6.817984677,0.08540965,0.257838418,0.492966049,1.447909038,0.573983637,0.959036005,0.647864635,0.123362231,2.051037751,0.318930874,0
1283.758112,877.1211329,869.6155078,6.119077697,0.112028221,0.348021379,0.251045603,1.228489699,0.815285891,0.612288072,1.471533631,0.064997906,2.261414769,0.237360531,1
1233.547875,917.4960159,949.3121291,6.498778559,0.147513771,0.442115335,0.234969899,1.273414147,0.709933693,0.631547688,1.279509592,0.064056228,2.331236409,0.405398056,2
1211.779943,836.1508778,772.9503158,6.826924933,0.085392117,0.253668923,0.28808171,1.387569907,0.591951308,0.680055283,1.195037528,0.128510154,1.834456072,0.40619995,0
1280.536733,876.67378,984.5493911,6.041754551,0.118404788,0.341583458,0.482351707,1.230422723,0.776202363,0.813136873,0.602237853,0.129061578,1.66377955,0.416300109,1
1231.620443,920.7748192,758.4222493,6.552773018,0.133380046,0.457997446,0.447677362,1.282683166,0.658896449,0.856279796,0.623620094,0.138946229,2.662128918,0.169457041,2
1208.074977,842.6148742,704.1107279,6.787312161,0.093055899,0.258320604,0.231129701,1.42423751,0.559922598,0.858831592,1.111058832,0.133026396,2.945369307,0.453793712,0
1280.217378,884.9117559,956.1166441,6.136382976,0.116900037,0.346952493,0.253057646,1.206706174,0.814198385,0.80573205,1.130936153,0.126995214,2.512953412,0.266963257,1
1229.30846,922.6858182,778.5323785,6.547703644,0.143294417,0.448040357,0.36400633,1.331112258,0.695566114,0.566738898,1.453971387,0.083830968,1.935227197,0.274416225,2
1205.745426,844.2017828,909.0501785,6.81105722,0.081745406,0.246585648,0.444887744,1.353454224,0.619711309,0.953882451,1.023107294,0.070331553,2.450516815,0.215266566,0
1284.513908,878.6065187,747.5269567,6.109326318,0.114501129,0.354064761,0.402028089,1.179302407,0.790636275,0.71320176,1.219780181,0.093685771,2.048340901,0.4533537,1
1228.668421,920.7148137,894.4870164,6.555588703,0.134399407,0.45922795,0.205689927,1.300664868,0.675262759,0.668351477,0.706636941,0.095544659,2.421533086,0.119314285,2
1209.920221,836.7821388,935.0020522,6.81464694,0.08775358,0.250698339,0.26475597,1.400568993,0.637374798,0.963823533,1.008701726,0.110618566,2.650658782,0.250169618,0
1287.85986,883.1635444,970.146798,6.067108488,0.119397445,0.349612962,0.457491005,1.194627751,0.820668231,0.710272699,1.210847171,0.140032237,1.50296849,0.236772534,1
1229.288093,921.7274343,744.5431664,6.545770267,0.149092315,0.440641981,0.462990375,1.333558777,0.737720021,0.659849788,0.632486834,0.088944393,2.314077055,0.203835529,2
1207.434605,836.342701,902.9729291,6.844707812,0.091961413,0.24449916,0.434189061,1.417437441,0.611807737,0.908367993,1.363128591,0.096397831,2.045520496,0.472689819,0
1282.845065,876.0368522,802.3897628,6.126844908,0.107285149,0.349470612,0.489391929,1.193405761,0.847408853,0.558469864,1.030575628,0.06114034,2.03599069,0.227544418,1
1231.735064,919.9184022,930.3840047,6.519682608,0.131364392,0.446353463,0.278255891,1.323743044,0.659600589,0.864030982,0.958586539,0.124068602,2.54077839,0.343674543,2
1205.699069,835.8948218,734.6994241,6.752013405,0.083059613,0.240922687,0.232117281,1.3584829,0.573345953,0.597720215,0.839154651,0.066059731,1.859755706,0.148676894,0
1282.837943,876.4426984,900.8397794,6.063910766,0.119656846,0.342870094,0.467206422,1.243148728,0.811510597,0.785405523,1.034494439,0.14056861,2.563708653,0.21578326,1
1229.361798,919.0331559,964.6031662,6.511822413,0.137330265,0.45631465,0.27962821,1.277324084,0.703351406,0.924150286,0.510596649,0.052369457,2.206951164,0.485842723,2
1213.534888,839.2590627,713.4659421,6.785821696,0.081060998,0.24799185,0.264361862,1.417111746,0.591227517,0.589324497,1.134689169,0.134221234,2.337943718,0.212471976,0
1279.287493,883.0902302,790.6620725,6.053590918,0.10434775,0.359575549,0.315886415,1.168181478,0.842941049,0.572963495,0.565377348,0.073619458,1.463595515,0.12309071,1
1227.335592,917.4970772,940.5040332,6.518438009,0.130498185,0.442869886,0.414707117,1.3323753,0.676670397,0.740189111,0.849747007,0.079033545,1.88551887,0.434801547,2
1208.997408,842.6769817,891.6560263,6.795123362,0.095680257,0.247944856,0.472132244,1.414108233,0.551773179,0.536241132,0.655590927,0.115387889,1.922706634,0.323933538,0
1279.44739,883.7653258,768.4196146,6.097737756,0.107450434,0.340179066,0.494351506,1.235897878,0.817718683,0.682448295,0.700606064,0.073764619,1.526408867,0.18519626,1
1234.658487,916.2922024,864.1751864,6.487501425,0.149190944,0.442535536,0.393038056,1.257033759,0.738213885,0.576485421,0.596328376,0.07378445,2.885493826,0.271822997,2
1207.42177,844.2494679,992.2766215,6.796154335,0.08618373,0.254967628,0.231222964,1.379807126,0.603275691,0.81182162,0.985258607,0.063628965,2.098339818,0.452517827,0
1280.484184,878.7212093,991.4369778,6.09399427,0.101080576,0.341622634,0.457210717,1.220359425,0.753064258,0.709710085,0.918398226,0.123528325,2.097448639,0.426056839,1
1228.510018,915.8454695,823.3229192,6.539732116,0.135424525,0.445414432,0.313552496,1.302196669,0.73544934,0.748166305,1.072546207,0.096084584,2.67038219,0.467050527,2
1214.074338,838.3266026,962.3750085,6.81190504,0.090870134,0.250778788,0.285148692,1.403062994,0.563691837,0.666171009,0.90943538,0.129963904,2.850850779,0.308578389,0
1287.373836,876.625945,929.6552622,6.087412562,0.115334795,0.348137489,0.406237108,1.208956788,0.849334014,0.671274387,1.132127176,0.086362086,1.183112222,0.278764301,1
1227.59642,918.590373,776.6234437,6.468540164,0.14482738,0.453806042,0.240233516,1.268181504,0.748181305,0.638155221,0.994822766,0.066538792,1.300573493,0.279998507,2
1208.432279,844.853702,984.123885,6.836266268,0.097755093,0.256474161,0.239609381,1.428380657,0.588711569,0.783133174,0.586069231,0.139449729,1.024340199,0.233777544,0
1280.106466,879.1821123,809.4637348,6.085327091,0.103934837,0.340855738,0.231825971,1.17588749,0.766361446,0.674388077,0.70464931,0.135509125,2.946276854,0.484340905,1
1226.916746,919.4148568,704.8041001,6.466422708,0.147539094,0.457321024,0.498613338,1.348042804,0.694503654,0.944148163,1.02291554,0.11396752,1.895178494,0.33656313,2
1207.451036,838.6266967,728.7222868,6.84078739,0.088407477,0.246315137,0.38953052,1.388702321,0.635480471,0.823371684,1.205621476,0.117592287,2.208232894,0.243985674,0
1283.094987,877.7860608,817.1152913,6.129289233,0.113611566,0.342699941,0.483648531,1.191330081,0.820721458,0.590511684,1.404828754,0.131818971,2.408654964,0.130645964,1
1227.224138,919.3524688,895.6599398,6.501996535,0.146719943,0.450812276,0.41348572,1.309836073,0.726518989,0.699980242,1.284935314,0.118159858,1.000897498,0.271147864,2
1206.85869,841.7542092,720.7102087,6.812625582,0.091327703,0.242968899,0.450871083,1.411025813,0.590875492,0.884686613,0.642417349,0.06424062,2.900360938,0.450580484,0
1286.10484,878.5885335,941.4712812,6.10875892,0.106727633,0.346204685,0.3260409,1.198543157,0.791695355,0.8847303,0.726333745,0.09605764,1.760778312,0.448623436,1
1230.69394,915.2309237,932.544886,6.462905026,0.142931006,0.443751861,0.342224747,1.260405882,0.680572336,0.547211347,0.97658333,0.148117792,1.081098437,0.294639631,2
1213.879499,843.8198057,919.0534069,6.808238059,0.092542353,0.255699604,0.210212022,1.379833096,0.587064705,0.61565128,0.861467319,0.110508162,1.391155339,0.35847969,0
1287.082245,881.1395077,835.2084915,6.061990462,0.110720001,0.344906839,0.418055546,1.221377068,0.787182941,0.586411003,0.558767875,0.064702796,1.974578315,0.466192112,1
1230.563887,922.1001907,915.1362655,6.553166488,0.143851003,0.441510249,0.220251629,1.306557418,0.739940717,0.671140528,1.15256562,0.05789564,1.067677959,0.4942231,2
1209.868167,838.6638188,721.6117399,6.759169907,0.082266217,0.25056142,0.290936978,1.42055178,0.592984178,0.572826199,1.433655664,0.121518334,2.377337758,0.472379831,0
1288.814993,884.0405921,957.6349682,6.115982089,0.101966689,0.348110307,0.405331294,1.214983819,0.831620161,0.892699972,0.63730291,0.137178684,1.275182315,0.413845093,1
1232.365694,923.4316072,718.0211545,6.554856497,0.142840611,0.445178285,0.458748547,1.276936183,0.736590965,0.503088561,0.766680106,0.0663175,2.058782563,0.476133683,2
1214.75609,836.9209647,779.8463746,6.768959431,0.091046278,0.251973654,0.249386022,1.371013094,0.602317035,0.545900397,0.923379152,0.137377097,2.834000196,0.382317425,0
1283.70977,882.7780134,789.6309345,6.096477612,0.112753539,0.350506344,0.467403189,1.230814113,0.82644531,0.591888171,1.494613129,0.098767388,1.188010094,0.434834055,1
1227.378751,915.5620328,710.1041948,6.542586454,0.131190963,0.450678558,0.318028637,1.257712426,0.719141388,0.778357333,0.936868333,0.145620668,1.638873198,0.460448363,2
1214.89236,838.704012,857.4973091,6.81902809,0.094384567,0.258089259,0.276479951,1.368999366,0.584929802,0.901255988,0.849155995,0.125170197,2.709725615,0.166144484,0
1284.299337,882.7802303,720.3866701,6.099866259,0.104969944,0.349373474,0.211405182,1.187305265,0.81578394,0.80283088,1.172718223,0.093234258,2.251458976,0.35417283,1
1228.290711,923.4190711,975.8294322,6.508732248,0.136345563,0.452619377,0.235440677,1.267772415,0.656294726,0.747319556,0.693246422,0.145960303,1.345235935,0.12030822,2
1207.92635,842.0015134,854.5432708,6.818052204,0.087590645,0.247165539,0.306390399,1.361799582,0.604891657,0.831136455,0.689547654,0.080038935,1.673707987,0.26524274,0
1285.244092,879.6914273,938.1668909,6.075407479,0.102037246,0.344735988,0.442429552,1.237065681,0.769895266,0.657780729,0.702581172,0.113631671,2.034214564,0.306172019,1
1226.345384,924.3614626,795.9138863,6.545950547,0.13233423,0.442430178,0.362088902,1.267866927,0.6954721,0.899174115,0.595480178,0.129834578,1.927344623,0.100880531,2
1209.80377,842.3958576,794.9151305,6.828657661,0.089440955,0.241463441,0.490114798,1.424869835,0.597643222,0.542626711,0.752302746,0.091060427,2.574122503,0.222887922,0
1288.237775,879.2603264,858.4654216,6.111501364,0.110733186,0.340065923,0.497967636,1.155429391,0.77739169,0.836487482,0.700201971,0.133468133,2.72512462,0.274133798,1
1226.940965,923.2190079,710.0518131,6.491181757,0.135470111,0.442850376,0.359969318,1.295555416,0.687340632,0.852473674,1.139332153,0.091014043,2.368624121,0.291850001,2
1213.105702,844.4447883,946.6934729,6.804639192,0.098537779,0.241323362,0.231281074,1.378136183,0.584934412,0.571894108,1.149452525,0.118364177,2.525598798,0.476472299,0
1279.40919,882.9136551,835.4319682,6.084858401,0.100190514,0.341423154,0.367594363,1.234656512,0.805372582,0.969543571,1.005354234,0.090457522,2.111872379,0.460455409,1
1234.075401,920.7054018,909.7528592,6.461820564,0.141702293,0.442185147,0.290771316,1.265729133,0.698178984,0.895250392,0.547486746,0.124596684,1.704326076,0.164632306,2
1208.447739,838.3849171,784.8660065,6.765820391,0.096092921,0.24579004,0.386381476,1.419346306,0.607697569,0.675949785,1.417477708,0.070580372,2.696175369,0.270907046,0
1288.793476,880.4862337,865.1211168,6.117426114,0.112453728,0.350857303,0.27467016,1.244092001,0.764025662,0.607780585,1.443932717,0.094261051,1.459637606,0.176131227,1
1232.853042,915.8781302,919.1027641,6.519857186,0.135330785,0.448150697,0.45456074,1.283911415,0.667077036,0.726873695,0.674495275,0.118169417,1.977517062,0.436684506,2
1206.892916,836.0310164,929.3363932,6.828513565,0.08592104,0.257327438,0.37185522,1.419797806,0.552435391,0.760486609,0.523640311,0.080187717,2.779328336,0.23492359,0
1282.285151,876.7683324,921.2076633,6.101554167,0.119295569,0.357646137,0.237866329,1.200239915,0.777613755,0.529760353,1.448859013,0.094183852,2.315878938,0.227198997,1
1233.790748,919.7360788,951.4902179,6.478599742,0.147501838,0.455329292,0.389395328,1.349286243,0.733868729,0.715442564,1.386235272,0.138799894,2.37391078,0.276894894,2
1209.080004,842.5550951,791.0816306,6.798615538,0.088353007,0.259370198,0.346240221,1.430528767,0.595346122,0.73038216,0.864743746,0.091522214,1.815515993,0.219667678,0
1286.726344,884.9327507,924.9751529,6.065258275,0.116988927,0.34337861,0.305780998,1.187327808,0.750862453,0.952143142,0.740588474,0.146207367,1.741709491,0.287595096,1
1229.708551,924.8666024,795.7014739,6.508174833,0.140038089,0.450454239,0.432954078,1.276347316,0.742107132,0.887889633,1.319067102,0.096291324,2.009388694,0.425752829,2
1209.55571,842.5993042,779.500017,6.775005283,0.089125703,0.246224876,0.365666417,1.362943087,0.646595488,0.920160505,0.873019185,0.115334781,2.956430072,0.156864062,0
1286.895333,876.0367173,863.911033,6.075313623,0.113174382,0.356802883,0.428680559,1.212557197,0.823794437,0.787878231,0.936680094,0.149797203,1.646017551,0.178369826,1
1229.881093,915.5836451,910.0640316,6.487400709,0.143906137,0.443837326,0.498258412,1.258119746,0.705004397,0.697913001,1.137119604,0.115609003,1.936493503,0.168491968,2
1211.49444,838.4027588,945.5327681,6.777547709,0.090825433,0.259263262,0.360186986,1.405056192,0.626926932,0.715603042,0.873439249,0.130012043,2.990855458,0.199474348,0
1282.543376,876.9485256,871.314852,6.099407225,0.116759822,0.351868221,0.358206075,1.187879982,0.801493316,0.917292753,1.415623187,0.089947601,1.209995457,0.359483988,1
1225.933078,917.7682692,985.188732,6.467611198,0.132139116,0.440498304,0.466778771,1.270929561,0.724047954,0.777713721,1.122320723,0.11155783,2.24482514,0.2169003,2
1207.954534,836.4532439,885.6102433,6.764617636,0.093380308,0.241075973,0.23207097,1.410147516,0.647314959,0.585129759,1.076255343,0.086778081,1.622006044,0.163325998,0
1288.979635,875.8988081,735.6851108,6.102762244,0.116901478,0.354731845,0.497153294,1.168164523,0.825368407,0.822200293,1.013851988,0.141287937,1.44978221,0.329836197,1
1225.64413,916.6067304,961.5513928,6.529685577,0.138431884,0.452627656,0.412927671,1.344535454,0.74108891,0.509778101,0.861938994,0.06059678,1.886934769,0.162947209,2
1213.368071,839.4440755,814.2824712,6.805123611,0.081751982,0.2578938,0.234125511,1.43645698,0.562281433,0.710076138,1.321501451,0.053974161,1.155024416,0.174765119,0
1283.778171,880.3006726,735.8779772,6.138290583,0.115340915,0.350187374,0.355574325,1.180457313,0.799499076,0.61604333,1.165100805,0.1434118,1.000657788,0.167233104,1
1231.191864,920.1488959,731.0295858,6.469474515,0.147194912,0.444019461,0.408256424,1.322881586,0.671007046,0.611673781,0.966470511,0.057712216,1.680411291,0.482048145,2
1213.900045,844.7996093,753.2550363,6.775182255,0.081876722,0.243281119,0.477770988,1.420636464,0.568317949,0.744490946,1.305103925,0.082320558,2.581214802,0.261629543,0
1286.309369,884.1082862,970.2455523,6.092908091,0.111412583,0.346028701,0.42754682,1.24002034,0.751314902,0.544353042,1.030257389,0.075944258,2.88884297,0.469627178,1
1234.587667,924.6221273,976.994984,6.559087618,0.133900345,0.458327879,0.328933462,1.284636848,0.722559738,0.917560371,1.087858681,0.106398241,2.022255552,0.458282209,2
1209.46931,843.5588506,933.8067667,6.824582085,0.090887525,0.242831888,0.258678607,1.44337069,0.555763057,0.506086454,1.27014463,0.079607761,1.577696757,0.461044661,0
1284.740693,882.0096089,939.1795874,6.040016958,0.1105859,0.352485999,0.223419638,1.231651978,0.793815315,0.706583365,1.331992757,0.099909005,2.345715744,0.203402346,1
1227.451043,923.3901817,738.9911274,6.540976356,0.134543986,0.45117167,0.246151145,1.313012462,0.683579806,0.553393827,1.32519945,0.1281862,2.58964258,0.151509672,2
1210.921089,842.0771516,999.4859268,6.817389424,0.083234988,0.251137564,0.351416962,1.383029908,0.619882316,0.763370928,1.222065174,0.076213858,1.262081183,0.113423988,0
1279.443879,878.9575864,748.1410661,6.083274432,0.106973047,0.345338002,0.28149182,1.242201075,0.784675065,0.590230024,0.6762963,0.050028983,1.601586673,0.454712018,1
1227.678205,916.5384129,941.5889071,6.541799302,0.133961695,0.442721063,0.382975909,1.28983086,0.749134179,0.626508271,1.080306148,0.132799767,2.850460758,0.232248124,2
1208.506207,835.692135,715.8371417,6.80667094,0.09550332,0.254637638,0.423779257,1.356803666,0.604914118,0.56248488,1.187207784,0.070058177,1.542437512,0.221732206,0
1280.668953,882.4063337,884.8742215,6.138433018,0.118621996,0.354719808,0.493800507,1.235378435,0.765695085,0.714580593,1.245429649,0.072480041,1.760246004,0.346910285,1
1228.776922,920.7546961,875.8694979,6.506189561,0.134373956,0.445817079,0.497999099,1.302036662,0.682834374,0.802635898,0.799122875,0.084692875,1.737248428,0.135982685,2
1209.728252,839.2654546,785.0177418,6.758824597,0.082652638,0.25559742,0.297937895,1.446864714,0.636225744,0.629072736,0.818502416,0.133785621,1.897212746,0.489159289,0
1279.756439,879.1670705,711.0281618,6.115985291,0.101240829,0.348343,0.352740347,1.239623435,0.769587883,0.787042645,1.01561234,0.117474322,2.794203577,0.218474523,1
1228.705689,924.0793811,895.5384662,6.509474436,0.134537963,0.450454917,0.303029114,1.295389041,0.749235881,0.667596931,1.491814167,0.107019073,2.917737156,0.465491124,2
1214.509869,839.4415899,953.8110788,6.838092767,0.086866529,0.250796795,0.364580031,1.424072002,0.567658361,0.656892295,1.208099377,0.09425557,2.643710574,0.138603142,0
1288.44622,876.4895355,774.4120009,6.099808381,0.104531989,0.345586138,0.359036777,1.202312951,0.825621246,0.744007023,1.210844691,0.107701168,1.566625912,0.248936909,1
1233.420322,916.0332403,763.2412649,6.551583986,0.137494482,0.455176399,0.375147623,1.2973966,0.67419826,0.605015003,1.34445815,0.131146681,2.269448448,0.272973107,2
1210.937125,841.8568817,913.9869304,6.810600434,0.094213721,0.258465806,0.241398325,1.435766124,0.614286174,0.798202895,0.700352569,0.09602766,1.862214572,0.207861579,0
1279.866094,879.8649209,861.2836981,6.042812279,0.116826534,0.35132193,0.35534109,1.231732916,0.77447703,0.848036002,0.822689634,0.144957006,2.445822196,0.473178851,1
1225.309325,915.0605397,898.0253528,6.470680857,0.133365079,0.45366684,0.426551986,1.263502747,0.669461254,0.920549285,1.28804245,0.061981569,2.790966652,0.164508105,2
1214.248573,843.7877354,743.0649654,6.763563978,0.094455228,0.254891497,0.306480859,1.401360163,0.567951234,0.636864988,0.764090011,0.148047252,1.640692147,0.489641738,0
1283.303849,883.3958942,797.8612436,6.124924414,0.110408279,0.35549472,0.321445589,1.170621114,0.794071682,0.689791737,1.201195789,0.068157407,1.325451192,0.465562466,1
1229.523558,920.5003229,916.6404474,6.500709721,0.146603973,0.452725289,0.351221875,1.290356558,0.723703671,0.91442556,1.351499991,0.114589114,1.932780537,0.356377173,2
1208.165141,838.8214444,836.7327157,6.847904024,0.099091718,0.247045326,0.309589003,1.373092419,0.636330032,0.795823606,0.857515983,0.09617609,2.39558757,0.300148394,0
1283.620634,884.7627779,737.2531723,6.086003719,0.100896404,0.348512016,0.469420305,1.165034933,0.836715297,0.564101136,1.252966373,0.132738,2.030218362,0.381980647,1
